uID,Context,Prompt,Target
SWBD-172,"A: Is, uh, kind of fun. It's best done when you have leisure time and I had more of that in my childhood days than I have now. And I grew up in an area that, uh, was just a few feet from a rather large lake, and a few more miles from that was a even larger lake and we had a variety of boats at our disposal. Uh, I worked for a camp for a number of years. My father was on staff there, and we had every kind of things from canoes to paddle boats, sailboats, speedboats, you name it, they had it and we did a lot of, water sports. But I think, uh, the thing I liked the best was, uh, we spent about a summer couple of guys, uh, restored an old wooden boat that was built back in the mid-thirties and got a new canvas sail for it and had a real big old four- foot center board that went down in the middle to keep you upright when the waves, or the wind came from the side and we got that thing in the water and had a real good time with it. If you ever got it dumped over, though, it was a mess to get back up. It wasn't like the newer ones that have nice chambers that keep it afloat or keep it, uh, upright again. This one you had to work with. You get out of the water again and get it upright. And, uh, sailing was kind of nice to learn the maneuvers you had to make to work your way down a lake or work back up against the wind, as it were, tacking back and forth and, uh, more than once we'd get out there on a really stormy day and, uh, the storm or the wind was due to the front blowing and as soon as the front came over, it was calm. So you're out in the middle of nowhere with a paddle and you paddle your way back in and hope it doesn't start raining on you right away. And that didn't always work. We oftentimes got wet,. But, uh, it's a nice hobby to have.",he could afford the boat,"Nowadays I don't think I could afford the boat or the time,"
SWBD-173,"B: I think I've been trout fishing once. I've never fly fished. Have you fly fished? A: Uh, no I haven't.",she could do that,I don't know that I could do that.
SWBD-174,"B: If you compare like the people that could have sent their kids to private schools and you know, the people that, uh, did send their kids to private schools. A: Yes. B: I think they compare you know, fairly well. A: Yeah. Yeah.",she could have done much better than she did in the school system she was in,"I mean, I honestly don't really think I could have, you know, done much better than I did in the school system I was in."
SWBD-175,"A: And, uh, I got to stay home with my kids, which I really wanted to do, but now I could not go back and do it. B: Yeah. A: I really couldn't,",he could stay home all the time and do nothing,I don't think I could stay home all the time and do nothing.
SWBD-176,"A: Yeah. Well, Do you have anything else to say? B: Well,  No, not too much more about credit cards. A: Okay.",she has more to say about credit cards,I don't think I do either
SWBD-177,"B: Well that's true. You're right, you know, by the time you've finally got down to it, I was hoping I could remember where all those other things went. A: Well that's kind of the way I was, I tried to remember as I took stuff off where it went,",he had too many nuts and bolts left over,and I don't think I had too many nuts and bolts left over when I got it all put back together.
SWBD-178,"A:  nanny, sort of? Uh-huh. Uh-huh. B: and you know, I could envision a society where that would happen and make an interesting, uh, uh, story or whatever. A: Yeah. B:",she has a philosophical problem with that,I don't think I have a philosophical problem with that.
SWBD-179,"A: They might, they're actually very friendly dogs. B: Are they really?",she has ever seen one,I don't think I've ever seen one.
SWBD-18,"B: Yeah, hormones, but yeah, uh, steroids. But, I stay from that crap. A: Yeah, it's too dangerous. B:",hair would start growing out of her upper lip,"Oh, I could just see hair would start growing out of my upper lip or something."
SWBD-180,"B: That was kind of a funny movie with, uh, Richard Dreyfuss and Bill Murray. A: Uh-huh. B: That was fun. A: Golly,",he has heard of that movie,I don't think that I've ever heard of that movie.
SWBD-181,"A: when I started thinking about this, those are some of my favorite shows, McGyver, because it's only one person there, uh, you know, instead of a cast of people, B: Uh-huh. A: but he's always going out and inventing new things out of scrap, and grabbing what he can and, you know, pieces of baling wire and a few tires and all of a sudden he's got a hang glider and, B:",she has heard of that show,I don't think I've even heard of that show.
SWBD-182,"B: uh, those Cowboys have increased their prices again this year. A: Oh yeah. B: But I didn't know,",he has heard something on the Rangers,"I don't think I've heard anything on the Rangers,"
